device_name,current_op_status
Device_1,23
Device_2,100
Device_3,50
Device_4,63
Device_5,80
Device_6,40
Device_7,20
Device_8,74
Device_9,66
Device_10,52
Device_11,10
Device_12,84
Device_13,95
Device_14,84
Device_15,43
Device_16,9
Device_17,96
Device_18,96
Device_19,64
Device_20,31
Device_21,1
Device_22,91
Device_23,87
Device_24,88
Device_25,62
Device_26,48
Device_27,38
Device_28,81
Device_29,69
Device_30,13
Device_31,65
Device_32,16
Device_33,55
Device_34,24
Device_35,83
Device_36,14
Device_37,17
Device_38,57
Device_39,51
Device_40,42
Device_41,18
Device_42,71
Device_43,62
Device_44,67
Device_45,64
Device_46,65
Device_47,73
Device_48,16
Device_49,63
Device_50,47
Device_51,1
Device_52,20
Device_53,4
Device_54,54
Device_55,44
Device_56,28
Device_57,9
Device_58,89
Device_59,34
Device_60,89
Device_61,59
Device_62,15
Device_63,98
Device_64,55
Device_65,7
Device_66,20
Device_67,87
Device_68,13
Device_69,97
Device_70,83
Device_71,16
Device_72,64
Device_73,93
Device_74,35
Device_75,33
Device_76,82
Device_77,76
Device_78,89
Device_79,42
Device_80,86
Device_81,53
Device_82,57
Device_83,24
Device_84,13
Device_85,88
Device_86,21
Device_87,5
Device_88,79
Device_89,73
Device_90,67
Device_91,26
Device_92,22
Device_93,51
Device_94,85
Device_95,86
Device_96,85
Device_97,40
Device_98,24
Device_99,86
Device_100,78
